directory, treatment, target, newcov,  oldcov, newtssize, origtsize
/scratch/alipour/replica1/src/1/35/no_swarm,no_swarm,6989,22,22,555,2629
/scratch/alipour/replica1/src/1/35/half_swarm,half_swarm,6989,8,22,520,2629
/scratch/alipour/replica1/src/1/36/no_swarm,no_swarm,28666,13,19,392,2629
/scratch/alipour/replica1/src/1/36/half_swarm,half_swarm,28666,4,19,524,2629
/scratch/alipour/replica1/src/1/37/half_swarm,half_swarm,18429,15,44,493,2629
/scratch/alipour/replica1/src/1/38/half_swarm,half_swarm,15921,1,6,512,2629
/scratch/alipour/replica1/src/1/39/half_swarm,half_swarm,7911,10,36,533,2629
/scratch/alipour/replica1/src/1/40/no_swarm,no_swarm,19594,6,4,545,2629
/scratch/alipour/replica1/src/1/40/half_swarm,half_swarm,19594,3,4,506,2629
/scratch/alipour/replica1/src/1/41/no_swarm,no_swarm,7196,4,13,535,2629
/scratch/alipour/replica1/src/1/41/half_swarm,half_swarm,7196,4,13,472,2629
/scratch/alipour/replica1/src/1/42/no_swarm,no_swarm,32562,2,2,537,2629
/scratch/alipour/replica1/src/1/42/half_swarm,half_swarm,32562,0,2,544,2629
/scratch/alipour/replica1/src/1/43/half_swarm,half_swarm,20556,4,21,520,2629
/scratch/alipour/replica1/src/1/44/no_swarm,no_swarm,5819,1,2,526,2629
/scratch/alipour/replica1/src/1/44/half_swarm,half_swarm,5819,0,2,560,2629
/scratch/alipour/replica1/src/1/45/no_swarm,no_swarm,22337,0,3,308,2629
/scratch/alipour/replica1/src/1/45/half_swarm,half_swarm,22337,1,3,477,2629
/scratch/alipour/replica1/src/1/46/no_swarm,no_swarm,32607,2,2,546,2629
/scratch/alipour/replica1/src/1/46/half_swarm,half_swarm,32607,1,2,463,2629
/scratch/alipour/replica1/src/1/47/half_swarm,half_swarm,32231,2,2,499,2629
/scratch/alipour/replica1/src/1/48/no_swarm,no_swarm,7426,25,65,525,2629
/scratch/alipour/replica1/src/1/48/half_swarm,half_swarm,7426,13,65,530,2629
/scratch/alipour/replica1/src/1/49/no_swarm,no_swarm,32627,1,2,540,2629
/scratch/alipour/replica1/src/1/49/half_swarm,half_swarm,32627,0,2,506,2629
/scratch/alipour/replica1/src/2/0/half_swarm,half_swarm,29833,6,10,492,1729
/scratch/alipour/replica1/src/2/1/half_swarm,half_swarm,20826,7,21,562,1729
/scratch/alipour/replica1/src/2/2/half_swarm,half_swarm,16525,3,3,533,1729
/scratch/alipour/replica1/src/2/3/no_swarm,no_swarm,30456,1,2,314,1729
/scratch/alipour/replica1/src/2/3/half_swarm,half_swarm,30456,1,2,551,1729
/scratch/alipour/replica1/src/2/4/half_swarm,half_swarm,29683,1,5,511,1729
/scratch/alipour/replica1/src/2/5/no_swarm,no_swarm,7359,14,20,535,1729
/scratch/alipour/replica1/src/2/5/half_swarm,half_swarm,7359,3,20,495,1729
/scratch/alipour/replica1/src/2/6/half_swarm,half_swarm,28916,30,64,538,1729
/scratch/alipour/replica1/src/2/7/no_swarm,no_swarm,16258,50,4,544,1729
/scratch/alipour/replica1/src/2/7/half_swarm,half_swarm,16258,0,4,531,1729
/scratch/alipour/replica1/src/2/8/no_swarm,no_swarm,12665,497,26,500,1729
/scratch/alipour/replica1/src/2/8/half_swarm,half_swarm,12665,30,26,516,1729
/scratch/alipour/replica1/src/2/9/no_swarm,no_swarm,10586,1,2,402,1729
/scratch/alipour/replica1/src/2/9/half_swarm,half_swarm,10586,3,2,544,1729
/scratch/alipour/replica1/src/2/10/no_swarm,no_swarm,7108,12,53,380,1729
/scratch/alipour/replica1/src/2/10/half_swarm,half_swarm,7108,19,53,535,1729
/scratch/alipour/replica1/src/2/11/half_swarm,half_swarm,7451,12,25,524,1729
/scratch/alipour/replica1/src/2/12/half_swarm,half_swarm,28869,23,64,640,1729
/scratch/alipour/replica1/src/2/13/half_swarm,half_swarm,28892,40,64,941,1729
/scratch/alipour/replica1/src/2/14/no_swarm,no_swarm,30471,3,2,494,1729
/scratch/alipour/replica1/src/2/14/half_swarm,half_swarm,30471,1,2,711,1729
/scratch/alipour/replica1/src/2/15/half_swarm,half_swarm,25319,16,21,777,1729
/scratch/alipour/replica1/src/2/16/no_swarm,no_swarm,15870,53,10,581,1729
/scratch/alipour/replica1/src/2/16/half_swarm,half_swarm,15870,8,10,770,1729
/scratch/alipour/replica1/src/2/17/no_swarm,no_swarm,25787,31,4,653,1729
/scratch/alipour/replica1/src/2/17/half_swarm,half_swarm,25787,1,4,785,1729
/scratch/alipour/replica1/src/2/18/no_swarm,no_swarm,18826,368,7,802,1729
/scratch/alipour/replica1/src/2/18/half_swarm,half_swarm,18826,5,7,781,1729
/scratch/alipour/replica1/src/2/19/no_swarm,no_swarm,18438,150,26,771,1729
/scratch/alipour/replica1/src/2/19/half_swarm,half_swarm,18438,30,26,779,1729
/scratch/alipour/replica1/src/2/20/half_swarm,half_swarm,29380,32,64,778,1729
/scratch/alipour/replica1/src/2/21/no_swarm,no_swarm,7226,26,53,562,1729
/scratch/alipour/replica1/src/2/21/half_swarm,half_swarm,7226,31,53,775,1729
/scratch/alipour/replica1/src/2/22/no_swarm,no_swarm,19630,231,4,595,1729
/scratch/alipour/replica1/src/2/22/half_swarm,half_swarm,19630,10,4,748,1729
/scratch/alipour/replica1/src/2/23/half_swarm,half_swarm,13083,3,3,687,1729
/scratch/alipour/replica1/src/2/24/half_swarm,half_swarm,29289,29,64,781,1729
/scratch/alipour/replica1/src/2/25/no_swarm,no_swarm,19796,590,63,616,1729
/scratch/alipour/replica1/src/2/25/half_swarm,half_swarm,19796,84,63,769,1729
/scratch/alipour/replica1/src/2/26/no_swarm,no_swarm,22414,21,5,774,1729
/scratch/alipour/replica1/src/2/26/half_swarm,half_swarm,22414,6,5,778,1729
/scratch/alipour/replica1/src/2/27/half_swarm,half_swarm,28969,32,64,728,1729
/scratch/alipour/replica1/src/2/28/no_swarm,no_swarm,9994,15,8,643,1729
/scratch/alipour/replica1/src/2/28/half_swarm,half_swarm,9994,9,8,772,1729
/scratch/alipour/replica1/src/2/29/no_swarm,no_swarm,7217,13,53,553,1729
/scratch/alipour/replica1/src/2/29/half_swarm,half_swarm,7217,22,53,773,1729
/scratch/alipour/replica1/src/2/30/half_swarm,half_swarm,24602,6,6,780,1729
