directory,target,hitrate,randomhitrate,swarmrate,mode
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/3/roundroubin.1.1/noswarm,269209,0.333333333333,0.363636363636,0.154434250765,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/3/roundroubin.2.1/halfswarm,280912,0.6,0.272727272727,0.2125382263,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/3/roundroubin.2.1/nosup,280912,0.782608695652,0.272727272727,0.2125382263,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/3/roundroubin.2.1/noswarm,280912,0.575757575758,0.272727272727,0.2125382263,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/3/roundroubin.3.1/halfswarm,196111,0.641025641026,0.939393939394,0.27370030581,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/3/roundroubin.3.1/nosup,196111,0.810810810811,0.939393939394,0.27370030581,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/3/roundroubin.3.1/noswarm,196111,0.581395348837,0.939393939394,0.27370030581,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/3/roundroubin.4.1/halfswarm,211761,0.5,0.393939393939,0.292048929664,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/3/roundroubin.4.1/nosup,211761,0.542857142857,0.393939393939,0.292048929664,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/3/roundroubin.4.1/noswarm,211761,0.386363636364,0.393939393939,0.292048929664,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.0.1/halfswarm,177806,0.342857142857,0.181818181818,0.175847457627,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.0.1/nosup,177806,0.4,0.181818181818,0.175847457627,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.0.1/noswarm,177806,0.439024390244,0.181818181818,0.175847457627,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.1.1/halfswarm,182864,0.285714285714,0.181818181818,0.252118644068,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.1.1/nosup,182864,0.181818181818,0.181818181818,0.252118644068,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.1.1/noswarm,182864,0.210526315789,0.181818181818,0.252118644068,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.2.1/halfswarm,179361,0.321428571429,0.181818181818,0.237288135593,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.2.1/nosup,179361,0.666666666667,0.181818181818,0.237288135593,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.2.1/noswarm,179361,0.296875,0.181818181818,0.237288135593,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.3.1/halfswarm,80861,0.396551724138,0.545454545455,0.254237288136,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.3.1/nosup,80861,0.767441860465,0.545454545455,0.254237288136,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.3.1/noswarm,80861,0.353846153846,0.545454545455,0.254237288136,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.4.1/halfswarm,140508,0.341463414634,0.0,0.141949152542,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.4.1/nosup,140508,0.4375,0.0,0.141949152542,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/4/roundroubin.4.1/noswarm,140508,0.255319148936,0.0,0.141949152542,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.0.1/halfswarm,241783,0.153846153846,0.0,0.131627056673,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.0.1/nosup,241783,0.236842105263,0.0,0.131627056673,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.0.1/noswarm,241783,0.178571428571,0.0,0.131627056673,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.1.1/halfswarm,144838,0.4,0.125,0.127970749543,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.1.1/nosup,144838,0.440677966102,0.125,0.127970749543,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.1.1/noswarm,144838,0.377049180328,0.125,0.127970749543,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.2.1/halfswarm,51312,0.283333333333,0.125,0.259597806216,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.2.1/nosup,51312,0.560975609756,0.125,0.259597806216,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.2.1/noswarm,51312,0.30303030303,0.125,0.259597806216,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.3.1/halfswarm,68185,0.5,0.375,0.217550274223,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.3.1/nosup,68185,0.681818181818,0.375,0.217550274223,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.3.1/noswarm,68185,0.451612903226,0.375,0.217550274223,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.4.1/halfswarm,42148,0.573770491803,0.0,0.239488117002,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.4.1/nosup,42148,0.818181818182,0.0,0.239488117002,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/5/roundroubin.4.1/noswarm,42148,0.457627118644,0.0,0.239488117002,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.0.1/halfswarm,161533,0.347826086957,0.5,0.174672489083,Half-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.0.1/nosup,161533,0.478260869565,0.5,0.174672489083,No-Suppressors
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.0.1/noswarm,161533,0.205882352941,0.5,0.174672489083,No-Swarm
/nfs/eecs-fserv/share/alipour/gcc_experiments/DATA2/6/roundroubin.1.1/halfswarm,42292,0.288888888889,0.147058823529,0.155749636099,Half-Swarm
